numberOneAfterAnother,identifierForm,perelikDodatkiv,nameForm,documetRegulates,typePayer,termPresentation,accountingPeriod
62,J1201016,"J1201116, J1201216",Податкова накладна,"Наказ Міністерства фінансів України від 2015-12-31 № 1307 (із змінами, внесеними наказом Міністерства фінансів України від 2024-08-09 № 400)",Ю,"не пізніше 15 календарних днів наступних за датою їх складання. На період дії воєнного стану граничні строки реєстрації ПН/РК в ЄРПН визначено п.89 підрозд.2 розд. XX ""Перехідні положення"" ПКУ",місяць
63,J1211001,"J1211101, J1211201","Податкова накладна (складена за операціями з вивезення за межі митної території України товарів, до яких застосовано режим експортного забезпечення)","Наказ Міністерства фінансів України від 2015-12-31 № 1307 (із змінами, внесеними наказом Міністерства фінансів України від 2024-08-09 № 400)",Ю,"не пізніше 15 календарних днів наступних за датою їх складання. На період дії воєнного стану граничні строки реєстрації ПН/РК в ЄРПН визначено п.89 підрозд.2 розд. XX ""Перехідні положення"" ПКУ",місяць
64,J1203203,NULL,"Акцизна накладна форми ""П""","Наказ Міністерства фінансів України від 2020-11-27 № 729, зареєстрований у Міністерстві юстиції України 2020-12-14 за № 1241/35524 (зі змінами внесеними наказом Міністерства фінансів України від 2023-02-01 № 55, зареєстрованим у Міністерстві юстиції України 2023-03-21 за № 480/39536)",Ю,"не пізніше 15 календарних днів наступних за датою їх складання, з урахуванням термінів, які визначені п. 231.6 ст. 231 Податкового кодексу",місяць
65,J1203303,NULL,"Розрахунок коригування акцизної накладної форми ""П""","Наказ Міністерства фінансів України від 2020-11-27 № 729, зареєстрований у Міністерстві юстиції України 2020-12-14 за № 1241/35524 (зі змінами внесеними наказом Міністерства фінансів України від 2023-02-01 № 55, зареєстрованим у Міністерстві юстиції України 2023-03-21 за № 480/39536)",Ю,"не пізніше 15 календарних днів наступних за датою їх складання, з урахуванням термінів, які визначені п. 231.6 ст. 231 Податкового кодексу",місяць
66,J1203403,NULL,"Акцизна накладна форми ""С""","Наказ Міністерства фінансів України від 2020-11-27 № 729, зареєстрований у Міністерстві юстиції України 2020-12-14 за № 1241/35524 (зі змінами внесеними наказом Міністерства фінансів України від 2023-02-01 № 55, зареєстрованим у Міністерстві юстиції України 2023-03-21 за № 480/39536)",Ю,"не пізніше 15 календарних днів наступних за датою їх складання, з урахуванням термінів, які визначені п. 231.6 ст. 231 Податкового кодексу",місяць
67,J1203503,NULL,"Розрахунок коригування акцизної накладної форми ""С""","Наказ Міністерства фінансів України від 2020-11-27 № 729, зареєстрований у Міністерстві юстиції України 2020-12-14 за № 1241/35524 (зі змінами внесеними наказом Міністерства фінансів України від 2023-02-01 № 55, зареєстрованим у Міністерстві юстиції України 2023-03-21 за № 480/39536)",Ю,"не пізніше 15 календарних днів наступних за датою їх складання, з урахуванням термінів, які визначені п. 231.6 ст. 231 Податкового кодексу",місяць
68,J1204101,NULL,Товарно-транспортна накладна на переміщення спирту етилового,"Наказ Міністерства транспорту та зв'язку України від 2005-04-28 № 154, зареєстрований в Міністерстві юстиції України 28 липня 2005 р. за № 817/11097 із змінами і доповненнями, внесеними наказом Міністерства інфраструктури України від 2013-09-02 № 657",Ю,по мірі необхідності,місяць
69,J1204201,NULL,Товарно-транспортна накладна на переміщення алкогольних напоїв,"Наказ Міністерства транспорту та зв'язку України від 2005-04-28 № 154, зареєстрований в Міністерстві юстиції України 28 липня 2005 р. за № 817/11097 із змінами і доповненнями, внесеними наказом Міністерства інфраструктури України від 2013-09-02 № 657",Ю,по мірі необхідності,місяць
70,J0302006,"J0320106, J0320206, J0320306, J0320406, J0320506, J0320606",Податкова декларація екологічного податку,"Наказ Міністерства фінансів України від 2015-08-17 № 715, зареєстрований у Міністерстві юстиції України 2015-09-03 за № 1052/27497 (зі змінами, внесеними наказом Міністерства фінансів України від 2023-09-07 № 488, зареєстрованим у Міністерстві юстиції України 2023-09-25 за № 1666/40722)",Ю,щоквартально протягом 40 днів після звітного кварталу,"1-й, 2-й, 3-й та 4-й квартал"
71,J0500110,"J0510110, J0510210, J0510310, J0510410, J0510510, J0510610","Податковий розрахунок сум доходу, нарахованого (сплаченого) на користь платників податків - фізичних осіб, і сум утриманого з них податку, а також сум нарахованого єдиного внеску","Наказ Міністерства фінансів України від 2015-01-13 № 4, зареєстрований в Міністерстві юстиції України 30 січня 2015 р. за № 111/26556 (із змінами)",Ю,"щомісячно, протягом 20 календарних днів, що настають за останнім календарним днем звітного (податкового) місяця",місяць
