КОД КП ;КОД ЗКППТР ;ВИПУСК ЄТКД ;ВИПУСК ДКХП ;ПРОФЕСІЙНА НАЗВА РОБОТИ ;
8139 ;18357 ;;37 ;Свердлувальник абразивних виробів ;
8131 ;18368 ;45 ;;Свердлувальник електрокерамічних виробів ;
9322 ;18359 ;20 ;;Свердлувальник запалювальних пластин кварцу ;
7311 ;18361 ;;50 ;Свердлувальник каміння ;
7322 ;18363 ;;49 ;Свердлувальник оптичних деталей ;
8131 ;18366 ;44 ;;Свердлувальник скловиробів ;
8211;;;;Свердлувальник спеціальних виробів (спеціальні хімічні виробництва);
8211 ;18355 ;;42 ;Свердлувальник ;
7233 ;18365 ;;42 ;Свердлувальник-пневматик ;
6121 ;18372 ;;2 ;Свинар ;
8224 ;18370 ;;1 ;Світлокопіювальник ;
2460;;;;Священнослужитель (священник, пастор, пресвітер, диякон, рабин, машгіах кашрут, моель, софер, імам, мулла і т. ін.);
2114.2 ;- ;- ;;Сейсмолог ;
3431 ;24661 ;- ;;Секретар адміністративний ;
1120.4;;;;Секретар Великої Палати Верховного Суду ;
3431 ;- ;- ;;Секретар виконкому ;
1229.7 ;;;83 ;Секретар відповідальний ;
3439 ;24664 ;- ;;Секретар дипломатичного агентства ;
4115 ;24690 ;;1 ;Секретар керівника (організації, підприємства, установи) ;
3439 ;24670 ;;;Секретар колегії (комітету) ;
3432 ;24673 ;- ;;Секретар колегії судової ;
3431 ;24674 ;- ;;Секретар комітету (організації, підприємства, установи) ;
1231 ;;;;Секретар корпоративний ;
1143.5;;;;Секретар місцевої ради (сільської, селищної, міської і т. ін.);
4115 ;24710 ;- ;;Секретар навчальної частини (диспетчер) ;
4115 ;24677 ;;1 ;Секретар незрячого фахівця ;
3431 ;;;;Секретар органу самоорганізації населення ;
1120.4;;;;Секретар Пленуму Верховного Суду;
3431 ;24685 ;- ;;Секретар правління ;
3439 ;24694 ;- ;;Секретар ради (науково-технічної, наукової, художньо-технічної) ;
1229.1 ;;;;Секретар Ради національної безпеки і оборони ;
1229.1 ;;;;Секретар Рахункової палати України ;
3432 ;;;;Секретар судового засідання ;
1120.4;;;;Секретар судової палати касаційного суду у складі Верховного Суду;
3432 ;;;;Секретар суду ;
3439 ;24706 ;- ;;Секретар творчої спілки ;
3439 ;;;;Секретар центрального органу виконавчої влади ;
1229.1 ;;;;Секретар Центральної виборчої комісії ;
4115 ;24658 ;;;Секретар ;
4115 ;;;1 ;Секретар-стенографіст ;
8139 ;18386 ;44 ;;Сепараторник (виробництво скла) ;
8141 ;18386 ;;16 ;Сепараторник (деревообробні виробництва) ;
8112 ;18386 ;;5 ;Сепараторник (збагачення) ;
8153 ;18388 ;;11 ;Сепараторник біомаси ;
8272 ;18390 ;;8 ;Сепараторник молока та молочної сировини ;
8139 ;18391 ;;37 ;Сепараторник шліфзерна ;
3231 ; ;;78 ;Сестра медична (брат медичний);
3231 ; ;;78 ;Сестра медична (брат медичний) з дієтичного харчування;
3231 ;;;78 ;Сестра медична (брат медичний) з косметичних процедур ;
3231;;;78;Сестра медична (брат медичний) з лікувальної фізкультури ;
3231;;;78;Сестра медична (брат медичний) з масажу ;
3231;;;;Сестра медична (брат медичний) з реабілітації;
3231 ;;;78 ;Сестра медична (брат медичний) з фізіотерапії ;
3231 ;;;78 ;Сестра медична (брат медичний) з функціональної діагностики ;
3231 ;;;78 ;Сестра медична (брат медичний) зі стоматології ;
3231 ; ;;;Сестра медична (брат медичний) загальної практики – сімейної медицини ;
3231 ;;;78 ;Сестра медична (брат медичний) поліклініки ;
3231 ; ;;78 ;Сестра медична (брат медичний) стаціонару ;
3231 ; ;;78 ;Сестра медична операційна (брат медичний операційний);
3231 ; ;;78 ;Сестра медична патронажна (брат медичний патронажний);
3231 ; ;;78 ;Сестра медична станції (брат медичний)  (відділення) швидкої та невідкладної медичної допомоги ;
3231 ;24716 ;;78 ;Сестра медична-анестезист (брат медичний-анестезист);
4131 ; ;;;Сестра-господиня ;
8312 ;18401 ;;66 ;Сигналіст ;
8340 ;18403 ;;56 ;Сигнальник боновий ;
8123;;;;Силицирувальник;
8273 ;18405 ;;7 ;Силосник ;
8123 ;18407 ;;42 ;Синильник ;
2112.2 ;- ;;75 ;Синоптик ;
8272 ;19072 ;;8 ;Сировар з дозрівання сирів ;
8272 ;19067 ;;8 ;Сировар ;
7413 ;19070 ;;8 ;Сировар-майстер з дозрівання сирів ;
7413 ;19068 ;;8 ;Сировар-майстер ;
7413 ;19074 ;;8 ;Сиросолільник ;
2213.2 ;;;;Сільськогосподарський дорадник ;
2213.2 ;;;;Сільськогосподарський експерт-дорадник ;
8262 ;18399 ;47 ;;Сіткоплетільник ;
8277 ;18411 ;55 ;;Скиртувальник ;
8121 ;18409 ;;40 ;Скіповий ;
9322 ;18412 ;47 ;;Складальник (складування) ;
9321 ;18121 ;38 ;;Складальник азбестометалевих листів ;
9321 ;;;35 ;Складальник волокнистоцементних виробів;
7313 ;18118 ;;38 ;Складальник алмазних інструментів ;
8224 ;- ;;;Складальник аудіо- та відеокасет ;
9321 ;18123 ;;40 ;Складальник балонів ;
8284 ;18125 ;33 ;;Складальник безбандажних шин ;
9322 ;14786 ;44 ;;Складальник блока з посклених стрижнів ;
7311;;;;Складальник боєприпасів;
8229;;;;Складальник боєприпасів (спеціальні хімічні виробництва) ;
8284 ;18129 ;33 ;;Складальник браслетів та брекетів ;
8266 ;18132 ;48 ;;Складальник верху взуття ;
8266 ;18213 ;48 ;;Складальник взуття ;
9321 ;18138 ;20 ;;Складальник випрямлячів ;
7331 ;18169 ;65 ;;Складальник виробів з бурштину ;
7332 ;18159 ;65 ;;Складальник виробів з дерева та пап'є-маше ;
8285 ;18161 ;;16 ;Складальник виробів з деревини ;
8284 ;18165 ;27 ;;Складальник виробів з пластмас ;
8284 ;18167 ;;55 ;Складальник виробів із склопластиків ;
7332 ;18163 ;65 ;;Складальник виробів із шкіри та хутра ;
8229;;;;Складальник виробів капсульного виробництва (спеціальні хімічні виробництва);
8286 ;18157 ;;14 ;Складальник виробів ;
8284 ;18136 ;33 ;;Складальник відновлюваних покришок ;
9321 ;18134 ;44 ;;Складальник вологопоглиначів ;
9322 ;14790 ;47 ;;Складальник ворсувальних рамок ;
9321 ;18140 ;;45 ;Складальник гальванічних елементів та батарей ;
7311 ;18296 ;;50 ;Складальник годинників ;
9322 ;14797 ;;51 ;Складальник голково-платинних виробів ;
8284 ;18253 ;;51 ;Складальник гумових технічних виробів ;
8289 ;;;;Складальник дерев'яних і пластмасових суден ;
8285 ;18142 ;;56 ;Складальник дерев'яних суден ;
9322 ;14794 ;;50 ;Складальник деталей годинників і каменів ;
8285 ;18144 ;48 ;;Складальник деталей та виробів ;
7312 ;18147 ;63 ;;Складальник духових інструментів ;
8282 ;18312 ;;45 ;Складальник електричних машин та апаратів ;
8282 ;18316 ;;45 ;Складальник електровимірювальних приладів ;
9321 ;18320 ;;45 ;Складальник електровугільного виробництва ;
8284 ;18314 ;;60 ;Складальник електроігор ;
8282 ;18318 ;45 ;;Складальник електрокерамічних виробів ;
8131 ;18325 ;;34 ;Складальник етажеркових вагонеток ;
7322 ;18235 ;44 ;;Складальник з обрамлення скла ;
8212 ;18150 ;;35 ;Складальник залізобетонних конструкцій ;
8284 ;18152 ;;56 ;Складальник залізобетонних суден ;
8229;;;;Складальник зарядів (спеціальні хімічні виробництва);
7311;;;;Складальник зброї ракетної;
9322 ;14796 ;47 ;;Складальник зубців та петель ;
8284 ;18155 ;;60 ;Складальник іграшок ;
8283 ;18171 ;20 ;;Складальник індикаторів ;
9321 ;18172 ;;48 ;Складальник ін'єкційних голок ;
9321 ;18174 ;;35 ;Складальник каркасів у виробництві гіпсобетонних панелей ;
7311 ;18178 ;20 ;;Складальник квантових приладів ;
9321 ;18180 ;20 ;;Складальник кварцових тримачів ;
9322 ;14799 ;;34 ;Складальник керамічних плиток у килими ;
8285 ;18241 ;37 ;;Складальник коркових виробів ;
8284 ;18187 ;;56 ;Складальник корпусів металевих суден ;
7442 ;18303 ;48 ;;Складальник лимарно-сідельних виробів ;
8282 ;18310 ;;45 ;Складальник лужних акумуляторів та батарей ;
9321 ;18191 ;;44 ;Складальник металевих щіток ;
8283 ;18193 ;20 ;;Складальник мікросхем ;
7319 ;;;;Складальник музичних інструментів (крім духових) ;
7312 ;18203 ;;60 ;Складальник музичних та озвучених іграшок ;
8283 ;18233 ;20 ;;Складальник напівпровідникових приладів ;
7332 ;18207 ;60 ;;Складальник натуральних об'єктів ;
8266 ;18209 ;48 ;;Складальник низу взуття ;
8282 ;18211 ;;45 ;Складальник обмоток трансформаторів ;
7311 ;18216 ;;48 ;Складальник окулярів ;
8282 ;18264 ;;45 ;Складальник осердь трансформаторів ;
9321 ;18220 ;;45 ;Складальник пакетів конденсаторів ;
8286 ;18130 ;;17 ;Складальник паперових виробів ;
8221 ;18222 ;;25 ;Складальник перев'язувальних матеріалів ;
8283 ;18247 ;20 ;;Складальник п'єзорезонаторів та виробів на основі п'єзоелементів ;
9321 ;18224 ;35 ;;Складальник пластин штучної шкіри ;
8284 ;18226 ;;56 ;Складальник пластмасових суден ;
8284 ;18230 ;33 ;;Складальник покришок ;
8159 ;18232 ;32 ;;Складальник полімеризаційного інвентарю ;
8282 ;18265 ;;45 ;Складальник потужнострумових конденсаторів ;
7311 ;18237 ;44 ;;Складальник приладів із скла ;
8221 ;18243 ;24 ;;Складальник продукції в аерозольному пакуванні (виробництво фармацевтичних продуктів та косметичних засобів) ;
8229 ;18243 ;24 ;;Складальник продукції в аерозольному пакуванні (хімічне виробництво) ;
8159 ;18245 ;28 ;;Складальник прядильних блоків та насосів ;
8283 ;18249 ;20 ;;Складальник радіодеталей ;
7239;;;;Складальник ракетних двигунів на твердому паливі;
9322 ;14814 ;;44 ;Складальник реміз ;
8282 ;18258 ;;45 ;Складальник ртутних випрямлячів ;
8282 ;18256 ;;45 ;Складальник ртутно-цинкових, магнієвих та інших джерел струму ;
8282 ;18262 ;;45 ;Складальник свинцевих акумуляторів та батарей ;
7311 ;18260 ;;50 ;Складальник складових частин годинників ;
9321 ;18267 ;44 ;;Складальник скловиробів ;
7322 ;14820 ;44 ;;Складальник скломаси ;
8290 ;18269 ;44 ;;Складальник склопакетів ;
9321 ;18189 ;29 ;;Складальник стрічок ;
8282 ;18277 ;;45 ;Складальник струмообмежувальних реакторів ;
7311 ;18294 ;;48 ;Складальник суцільнометалевих растрів ;
8290 ;18271 ;;36 ;Складальник теплоізоляційних конструкцій ;
9321 ;18273 ;44 ;;Складальник термосів ;
7322 ;18275 ;44 ;;Складальник тиглів ;
8282 ;18279 ;;45 ;Складальник трансформаторів ;
7312 ;18281 ;63 ;;Складальник ударних інструментів ;
8141 ;18282 ;40 ;;Складальник фанерних труб ;
7321 ;18284 ;45 ;;Складальник фарфорових та фаянсових виробів ;
7211 ;18286 ;;42 ;Складальник форм ;
8290 ;18290 ;;34 ;Складальник хімапаратури та хімустаткування ;
7311 ;18292 ;;48 ;Складальник хірургічних інструментів і апаратів ;
9322 ;14826 ;47 ;;Складальник цін ;
8240 ;18298 ;40 ;;Складальник чемоданів з фанери ;
9321 ;18299 ;27 ;;Складальник шайб ;
8284 ;;;;Складальник шиннопневматичних муфт ;
7442 ;18185 ;48 ;;Складальник шкірогалантерейних виробів ;
9321 ;18305 ;;48 ;Складальник шприців ;
9321 ;18307 ;59 ;;Складальник штемпелів ;
9321 ;18308 ;;44 ;Складальник щілинних сит ;
7312 ;18327 ;63 ;;Складальник язичкових інструментів ;
8141 ;18116 ;;16 ;Складальник ;
8284 ;18145 ;;56 ;Складальник-добудовник судновий ;
8284 ;18181 ;;55 ;Складальник-клеїльник конструкцій ;
8284 ;18183 ;;55 ;Складальник-клепальник ;
7312 ;18198 ;;59 ;Складальник-монтажник клавішних інструментів ;
7312 ;18200 ;63 ;;Складальник-монтажник смичкових інструментів ;
8283 ;18196 ;20 ;;Складальник-монтажник у виробництві кольорових кінескопів ;
7312 ;18201 ;;59 ;Складальник-монтажник щипкових інструментів ;
7243 ;18205 ;20 ;;Складальник-настроювач магнітних систем ;
8282 ;18214 ;;45 ;Складальник-обробник котушок трансформаторів ;
7346 ;14816 ;47 ;;Складач малюнка ;
7341 ;14803 ;59 ;;Складач на машинах ;
7341 ;14807 ;59 ;;Складач на складальних рядковиливальних машинах ;
8231 ;18719 ;33 ;;Складач наважок інгредієнтів ;
8312 ;18726 ;;66 ;Складач поїздів ;
7341 ;14792 ;59 ;;Складач ручним способом ;
7421 ;18418 ;;16 ;Склеювач блоків, заготовок та будівельних конструкцій ;
7321 ;18431 ;45 ;;Склеювач електрокерамічних виробів ;
9322 ;18420 ;45 ;;Склеювач керамічних, фарфорових та фаянсових виробів ;
8269 ;18414 ;47 ;;Склеювач ниток та текстильно-галантерейних виробів ;
7322 ;18424 ;;49 ;Склеювач оптичних деталей ;
9321 ;18425 ;20 ;;Склеювач п'єзоелементів ;
9322 ;18427 ;;50 ;Склеювач технічних каменів ;
8141 ;18429 ;40 ;;Склеювач фанерних труб ;
8229 ;18416 ;24 ;;Склеювач ;
9322 ;18422 ;;48 ;Склеювач-фарбувальник окулярних оправ із пластмас ;
8131 ;18852 ;44 ;;Скловар ;
7343 ;18854 ;;1 ;Склографіст (ротаторник) ;
7322 ;18856 ;44 ;;Склодув ;
9142 ;18858 ;;1 ;Склопротиральник ;
8212 ;16277 ;20 ;;Скляр резисторів ;
7135 ;18859 ;;64 ;Скляр ;
7311 ;18439 ;20 ;;Скрайбувальник пластин ;
8159 ;18440 ;;19 ;Скруберник-насосник ;
8282;18442;45;;Скручувальник виробів кабельного виробництва;
8282 ;18445 ;;45 ;Скручувальник-ізолювальник елементів кабелів зв'язку ;
8282 ;18444 ;;45 ;Скручувальник-ізолювальник жил та кабелю ;
2452.2 ;24737 ;;82 ;Скульптор ;
3471 ;;;;Скульптор-виконавець ;
2429 ;24740 ;- ;;Слідчий ;
3451;;;;Слідчий (з дипломом бакалавра);
2426;;;;Слідчий (поліція);
2139.2;;;;Слідчий з кіберзлочинів;
2426;;;;Слідчий-криміналіст (поліція);
4131;;;;Службовець на складі (комірник);
3480;;;;Служитель (паламар, дяк, помічник капелана і т. ін.);
7233 ;18447 ;;87 ;Слюсар аварійно-відновлювальних робіт ;
7239 ;;;;Слюсар будівельний з виготовлення вузлів трубопровідних систем ;
7233 ;18576 ;;64 ;Слюсар будівельний ;
7223 ;18594 ;;41 ;Слюсар електродної продукції ;
7136 ;18449 ;;63 ;Слюсар з аварійно-відбудовних робіт у газовому господарстві ;
7232 ;18477 ;;55 ;Слюсар з аерогідродинамічних випробувань ;
7233 ;18481 ;;45 ;Слюсар з виводів та обмоток електричних машин ;
7233 ;18489 ;;64 ;Слюсар з виготовлення вузлів та деталей санітарно-технічних систем ;
7136 ;;;64 ;Слюсар з виготовлення вузлів та деталей технологічних трубопроводів ;
7233 ;18483 ;;64 ;Слюсар з виготовлення деталей та вузлів систем вентиляції, кондиціювання повітря, пневмотранспорту й аспірації ;
8232;;;;Слюсар з виготовлення деталей та зразків з полімерних композиційних матеріалів;
7136 ;18487 ;;55 ;Слюсар з виготовлення й ремонту трубопроводів ;
7232 ;18485 ;;55 ;Слюсар з виготовлення та доведення деталей літальних апаратів ;
7233 ;18554 ;;63 ;Слюсар з експлуатації та ремонту газового устаткування ;
7136 ;18556 ;;63 ;Слюсар з експлуатації та ремонту підземних газопроводів ;
7241 ;18494 ;;42 ;Слюсар з контрольно-вимірювальних приладів та автоматики (електромеханіка) ;
7242 ;18494 ;2 ;;Слюсар з контрольно-вимірювальних приладів та автоматики (електроніка) ;
7311 ;18494 ;2 ;;Слюсар з контрольно-вимірювальних приладів та автоматики (прецизійні прилади) ;
7233 ;18466 ;;42 ;Слюсар з механоскладальних робіт ;
7233 ;18496 ;;6 ;Слюсар з монтажу та ремонту основ морських бурових та естакад ;
7233 ;;;;Слюсар з налагодження виробничого устаткування суден ;
7233 ;18497 ;;6 ;Слюсар з обслуговування бурових ;
7233 ;18505 ;;62 ;Слюсар з обслуговування теплових мереж ;
7233 ;18503 ;;62 ;Слюсар з обслуговування теплових пунктів ;
7233 ;18499 ;;62 ;Слюсар з обслуговування устаткування електростанцій ;
7233 ;18507 ;;66 ;Слюсар з огляду та ремонту локомотивів на пунктах технічного обслуговування ;
7231 ;18552 ;;42 ;Слюсар з паливної апаратури ;
7232 ;18509 ;;55 ;Слюсар з ремонту авіадвигунів ;
7232 ;18513 ;;55 ;Слюсар з ремонту агрегатів ;
7233 ;18520 ;;62 ;Слюсар з ремонту гідротурбінного устаткування ;
7233 ;18522 ;;42 ;Слюсар з ремонту дорожньо-будівельних машин та тракторів ;
7233 ;18542 ;;42 ;Слюсар з ремонту колійних машин та механізмів ;
7231;;;;Слюсар з ремонту колісних транспортних засобів;
7233 ;18528 ;;3 ;Слюсар з ремонту лісозаготівельного устаткування ;
7232 ;18529 ;;55 ;Слюсар з ремонту літальних апаратів ;
7233 ;18538 ;;62 ;Слюсар з ремонту парогазотурбінного устаткування ;
7233 ;18544 ;;62 ;Слюсар з ремонту реакторно-турбінного устаткування ;
7233 ;18540 ;;42 ;Слюсар з ремонту рухомого складу ;
7233 ;18545 ;;42 ;Слюсар з ремонту сільськогосподарських машин та устаткування ;
7233 ;18524 ;;42 ;Слюсар з ремонту та обслуговування перевантажувальних машин ;
7233 ;;;;Слюсар з ремонту та обслуговування портальних кранів ;
7233 ;18526 ;;42 ;Слюсар з ремонту та обслуговування систем вентиляції та кондиціювання ;
7233 ;18547 ;;21 ;Слюсар з ремонту технологічних установок ;
7233 ;18531 ;;62 ;Слюсар з ремонту устаткування котельних та пилопідготовчих цехів ;
7233 ;18537 ;;62 ;Слюсар з ремонту устаткування подавання палива ;
7233 ;18535 ;;62 ;Слюсар з ремонту устаткування теплових мереж ;
7233 ;18551 ;;42 ;Слюсар з такелажу й вантажозахватних пристроїв ;
7233 ;18450 ;;66 ;Слюсар зумпфового агрегата ;
7214 ;18549 ;;42 ;Слюсар із складання металевих конструкцій ;
7311 ;;;;Слюсар протезно-ортопедичних виробів ;
7233 ;18572 ;;40 ;Слюсар системи випарного охолодження ;
7233 ;18581 ;;40 ;Слюсар централізованої мастильної станції ;
7239;;;;Слюсар-випробувач виробів (спеціальні виробництва);
7232 ;18454 ;;55 ;Слюсар-випробувач ;
7233 ;;;;Слюсар-дизеліст ;
7241 ;;;;Слюсар-електрик з обслуговування та ремонту електроустаткування (портового, суднового та ін.) ;
7241 ;18589 ;;66 ;Слюсар-електрик з обслуговування та ремонту ескалаторів ;
7241 ;18583 ;;66 ;Слюсар-електрик з обслуговування та ремонту металоконструкції метрополітену ;
7241 ;18587 ;;66 ;Слюсар-електрик з обслуговування та ремонту станційного та тунельного устаткування метрополітену ;
7241 ;18585 ;;66 ;Слюсар-електрик з обслуговування та ремонту устаткування метрополітену ;
7241 ;18590 ;;42 ;Слюсар-електрик з ремонту електроустаткування ;
7241 ;;;;Слюсар-електрик з ремонту та обслуговування вантажопідіймальних кранів і машин ;
7241 ;;;;Слюсар-електрик з ремонту та обслуговування електричних підйомників (ліфтів) ;
7241 ;18596 ;;42 ;Слюсар-електромонтажник ;
7222 ;18452 ;;42 ;Слюсар-інструментальник ;
7241 ;18464 ;;56 ;Слюсар-механік електромеханічних приладів та систем ;
7239;;;;Слюсар-механік з виготовлення та ремонту ртутних диференціальних манометрів;
7233 ;18458 ;;56 ;Слюсар-механік з випробувань установок та апаратури ;
7242 ;18460 ;;47 ;Слюсар-механік з радіоелектронної апаратури ;
7232 ;18462 ;;55 ;Слюсар-механік з ремонту авіаційних приладів ;
7243;;;;Слюсар-механік із обслуговування спеціальних вагонів з транспортування виробів;
7239;;;;Слюсар-механік із спеціальних вимірювальних приладів;
8283 ;18468 ;;55 ;Слюсар-монтажник приладового устаткування ;
7233 ;18470 ;;56 ;Слюсар-монтажник судновий ;
7139 ;;;;Слюсар-монтажник технологічних трубопроводів ;
7233 ;18476 ;20 ;;Слюсар-обпресувальник ;
7233 ;18557 ;;40 ;Слюсар-проводник ;
7233 ;;;67 ;Слюсар-ремонтник судновий ;
7233 ;18559 ;;42 ;Слюсар-ремонтник ;
7136 ;18560 ;;42 ;Слюсар-сантехнік ;
8283 ;18561 ;;55 ;Слюсар-складальник авіаційних приладів ;
7239;;;;Слюсар-складальник виробів (спеціальні виробництва);
8284 ;18565 ;;55 ;Слюсар-складальник виробів з органічного скла ;
7232 ;18563 ;;55 ;Слюсар-складальник двигунів ;
7232 ;18567 ;;55 ;Слюсар-складальник літальних апаратів ;
8290 ;18569 ;;47 ;Слюсар-складальник радіоелектронної апаратури та приладів ;
8232;;;;Слюсар-складальник спеціальних виробів з полімерних композиційних матеріалів;
8290;;;;Слюсар-складальник спеціальної електро-радіоапаратури;
7239;;;;Слюсар-стендовик на вогняних стендах виробів з ракетними рідинними двигунами та ракетними двигунами на твердому паливі;
7233 ;18577 ;;56 ;Слюсар-судноремонтник ;
8152 ;18611 ;;52 ;Смолильник берд ;
8261 ;18612 ;;12 ;Смолильник клоччя ;
7432 ;18619 ;47 ;;Снувальник (ручне ткацтво) ;
8159 ;18619 ;24 ;;Снувальник (хімічне виробництво) ;
6124 ;18621 ;;5*, 2 ;Собаківник ;
8152 ;18623 ;;17 ;Содівник ;
8278 ;18625 ;;11 ;Солодовник ;
5123 ;;;;Сомельє ;
9311 ;18627 ;;5 ;Сортувальник (збагачення) ;
8290 ;18698 ;;36 ;Сортувальник (пакувальник) теплоізоляційних виробів ;
8229 ;18627 ;24 ;;Сортувальник (хімічне виробництво) ;
8139 ;18628 ;;37 ;Сортувальник абразивних матеріалів ;
7313 ;18630 ;;38 ;Сортувальник алмазів (виробництво алмазів) ;
7313 ;18630 ;65 ;;Сортувальник алмазів (гранувальне виробництво) ;
8212 ;18649 ;;35 ;Сортувальник вапна ;
7442 ;18651 ;48 ;;Сортувальник виробів, напівфабрикатів та матеріалів ;
7311 ;18654 ;20 ;;Сортувальник виробів, сировини та матеріалів ;
9322 ;18671 ;;42 ;Сортувальник відливок ;
9322 ;18648 ;;51 ;Сортувальник голково-платинних виробів ;
7331 ;18639 ;65 ;;Сортувальник декоративних порід дерева ;
7311 ;18643 ;;50 ;Сортувальник деталей годинників та каменів ;
8211 ;18641 ;;42 ;Сортувальник деталей підшипників ;
7313 ;18632 ;65 ;;Сортувальник діамантів ;
9321 ;18709 ;;45 ;Сортувальник електровугільних виробів ;
8151 ;18705 ;;43 ;Сортувальник електродів ;
9321 ;18707 ;;45 ;Сортувальник електроізоляційних матеріалів ;
7213 ;18646 ;;53 ;Сортувальник жерсті та виробів ;
8152 ;18656 ;;35 ;Сортувальник керамзиту ;
9322 ;18664 ;;8 ;Сортувальник кісток ;
8159 ;18660 ;;19 ;Сортувальник коксу ;
8290 ;18662 ;;38 ;Сортувальник контейнерів ;
8139 ;18665 ;;37 ;Сортувальник куска на печах опору ;
7421 ;18667 ;;16 ;Сортувальник матеріалів та виробів з деревини ;
8131 ;18673 ;;40 ;Сортувальник напівфабрикатів та виробів ;
7431 ;18669 ;47 ;;Сортувальник немитої вовни ;
8142 ;18634 ;;17 ;Сортувальник паперового виробництва ;
4142 ;18674 ;;70 ;Сортувальник поштових відправлень та виробів друку ;
9322 ;18677 ;65 ;;Сортувальник рогу та кістки ;
9322 ;18683 ;;11 ;Сортувальник сигарного листа ;
9311 ;18686 ;43 ;;Сортувальник сировини та виробів із слюди ;
8261 ;18685 ;;12 ;Сортувальник сировини та волокна ;
7431 ;18688 ;47 ;;Сортувальник сировини, матеріалів та виробів (виготовлення волокон, вати та конопледжутове виробництво) ;
7432 ;18688 ;47 ;;Сортувальник сировини, матеріалів та виробів (виготовлення полотна, виробництво текстильної галантереї та сітков'язальне виробництво) ;
7321 ;18690 ;45 ;;Сортувальник сировини, фарфорових, фаянсових та керамічних виробів ;
7411 ;18697 ;;8 ;Сортувальник тушок птиці та кролів ;
9322 ;18695 ;;11 ;Сортувальник тютюнових виробів ;
7416 ;18693 ;;11 ;Сортувальник тютюну у ферментаційному виробництві ;
7416 ;18692 ;;11 ;Сортувальник тютюну ;
8229 ;18636 ;;61 ;Сортувальник у виробництві олівців ;
7415 ;18637 ;;7 ;Сортувальник у виробництві харчової продукції (змішування продуктів харчування та напоїв) ;
7413 ;18637 ;;7 ;Сортувальник у виробництві харчової продукції (молочні продукти) ;
7411 ;18637 ;;7 ;Сортувальник у виробництві харчової продукції (м'ясні та рибні продукти) ;
7416 ;18637 ;;7 ;Сортувальник у виробництві харчової продукції (перероблення тютюну) ;
7414 ;18637 ;;7 ;Сортувальник у виробництві харчової продукції (плоди, овочі та подібні продукти) ;
7412 ;18637 ;;7 ;Сортувальник у виробництві харчової продукції (хлібобулочні та кондитерські вироби) ;
7434 ;18658 ;48 ;;Сортувальник шкіряно-хутряної сировини ;
7441 ;18700 ;;8 ;Сортувальник шкур ;
7441 ;18702 ;;8 ;Сортувальник шкурок кролів ;
8122 ;18681 ;;40 ;Сортувальник-здавальник металу ;
7415 ;18676 ;55 ;;Сортувальник-розбирач чаю ;
9322 ;18679 ;;40 ;Сортувальник-складальник брухту та відходів металу ;
2446.2 ;;;;Соціальний аудитор ;
1483 ;;;;Соціальний менеджер;
2442.2 ;;;;Соціальний патолог ;
2340;;;;Соціальний педагог;
3460 ;- ;;80 ;Соціальний працівник (допоміжний персонал) ;
2446.2 ;;;;Соціальний працівник ;
5133 ;- ;;80 ;Соціальний робітник ;
2442.2 ;- ;- ;;Соціолог з ефективності покарання правопорушників ;
2442.2 ;- ;- ;;Соціолог промисловий ;
2442.2 ;24767 ;;1 ;Соціолог ;
2442.2 ;- ;- ;;Соціолог-кримінолог ;
3117 ;24770 ;- ;;Спектроскопіст ;
2419.3 ;;;;Спеціаліст державної служби (місцевого самоврядування);
2419.3;;;76;Спеціаліст з питань персоналу державної служби;
2419.3 ;;;76 ;Спеціаліст-бухгалтер ;
2423 ;;;;Спеціаліст-криміналіст ;
2423;;;;Спеціаліст-підривник;
2419.3 ;;;76 ;Спеціаліст-юрисконсульт ;
1120.3 ;;;;Спеціальний представник України з питань придністровського врегулювання ;
8152 ;18742 ;;38 ;Спікальник інструментів з алмазів та надтвердих матеріалів ;
7322 ;18743 ;;49 ;Спікальник кювет ;
8152 ;18747 ;29 ;;Спікальник скловолокна ;
8123 ;18745 ;;47 ;Спікальник стрічкових осердь ;
8122 ;18749 ;;41 ;Спікальник ;
8261 ;18753 ;;12 ;Сплавлювач відходів ;
3475 ;- ;;85 ;Спортсмен-інструктор збірної команди України ;
3475 ;24769 ;;85 ;Спортсмен-інструктор ;
3475 ;- ;;85 ;Спортсмен-професіонал з виду спорту ;
4190 ;- ;;75 ;Спостерігач за забрудненням природного середовища ;
3141 ;23652 ;- ;;Спостерігач судновий ;
5161 ;;;;Спостерігач-пожежний ;
7311 ;18395 ;20 ;;Сріблильник п'єзотехнічних виробів ;
8131 ;18393 ;44 ;;Сріблильник ;
8221 ;18758 ;31 ;;Стабілізаторник-дефібринувальник крові ;
8211 ;18760 ;;45 ;Стабілізувальник кабелів ;
8261 ;18762 ;47 ;;Ставильник (виробництво текстилю) ;
8159 ;18762 ;28 ;;Ставильник (виробництво хімічних волокон) ;
8131 ;18767 ;44 ;;Ставильник скловиробів у автоклави ;
8131 ;18764 ;45 ;;Ставильник-вибірник виробів з печей ;
8131 ;18766 ;45 ;;Ставильник-вибірник фарфорових, фаянсових та керамічних виробів на вагонетках ;
3119 ;24772 ;- ;;Стажист-дослідник ;
8121 ;18769 ;;40 ;Сталевар вакуумної печі ;
8121 ;18781 ;;40 ;Сталевар електропечі ;
8121 ;18771 ;;40 ;Сталевар конвертера ;
